sld,childslds,links,asns,prefixes,Rcolor
akamaiedge.net, 2, 311911, 7, 8,1
akamai.net, 1, 276477, 5, 12,1
google.com, 3, 200650, 1, 22,1
us-east-1.elb.amazonaws.com, 13, 71538, 3, 117,10
pbwstatic.com, 36, 55872, 1, 2,6
alikunlun.com, 16, 55343, 16, 68,6
netdna-cdn.com, 1, 54327, 3, 4,6
awsdns-11.org, 17, 45648, 1, 1,3
facebook.com, 0, 45223, 1, 2,3
cdntip.com, 15, 44280, 7, 54,6
twitter.com, 0, 42964, 2, 1,3
jiashule.com, 29, 39637, 20, 109,2
amazonaws.com, 4, 26952, 2, 101,2
us-west-2.elb.amazonaws.com, 3, 15772, 3, 50,6
ccgslb.com.cn, 3, 14770, 25, 109,2
akadns.net, 6, 12127, 68, 129,2
cdn20.com, 5, 11581, 14, 55,6
wpengine.com, 6, 10748, 13, 79,8
